NumPy API,,,,,,
Functions,Doc,,,,Methods,
abs,"absolute(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Calculate the absolute value element-wise. Parameters ---------- x : array_like",Computation/Transformation,map,,T,Computation/Transformation
absolute,"absolute(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Calculate the absolute value element-wise. Parameters ---------- x : array_like",Computation/Transformation,map,,all,Computation/Transformation
absolute_import,?,Other,Unkown,,any,Computation/Transformation
add,"add(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Add arguments element-wise. Parameters ---------- x1, x2 : array_like     The array",Computation/Transformation,zipmap,,argmax,Computation/Transformation
add_docstring,"add_docstring(obj, docstring) Add a docstring to a built-in obj if possible. If the obj already has a docstring raise a RuntimeError If this routine does not know how to add a docstring to the object",Other,other,,argmin,Computation/Transformation
add_newdoc,"Adds documentation to obj which is in module place. If doc is a string add it to obj as a docstring If doc is a tuple, then the first element is interpreted as    an attribute of obj and the second as",Other,other,,argpartition,Computation/Transformation
add_newdoc_ufunc,"add_ufunc_docstring(ufunc, new_docstring) Replace the docstring for a ufunc with new_docstring. This method will only work if the current docstring for the ufunc is NULL. (At the C level, i.e. when uf",Other,other,,argsort,Computation/Transformation
add_newdocs,This is only meant to add docs to objects defined in C-extension modules. The purpose is to allow easier editing of the docstrings without requiring a re-compile. NOTE: Many of the methods of ndarray,Other,other,,astype,Computation/Transformation
alen,Return the length of the first dimension of the input array. Parameters ---------- a : array_like    Input array. Returns ------- alen : int    Length of the first dimension of `a`. See Also --------,MetaData/Attributes,size,,base,MetaData/Attributes
all,Test whether all array elements along a given axis evaluate to True. Parameters ---------- a : array_like     Input array or object that can be converted to an array. axis : None or int or tuple of in,Computation/Transformation,reduce,,byteswap,Computation/Transformation
allclose,"Returns True if two arrays are element-wise equal within a tolerance. The tolerance values are positive, typically very small numbers.  The relative difference (`rtol` * abs(`b`)) and the absolute dif",Computation/Transformation,zipmap,,choose,Creation/Reading
alltrue,Check if all elements of input array are true. See Also -------- numpy.all : Equivalent function; see for details.,Computation/Transformation,reduce,,clip,Computation/Transformation
amax,"Return the maximum of an array or maximum along an axis. Parameters ---------- a : array_like     Input data. axis : None or int or tuple of ints, optional     Axis or axes along which to operate.  By",Computation/Transformation,reduce,,compress,Indexing/Subsetting
amin,"Return the minimum of an array or minimum along an axis. Parameters ---------- a : array_like     Input data. axis : None or int or tuple of ints, optional     Axis or axes along which to operate.  By",Computation/Transformation,reduce,,conj,Computation/Transformation
angle,"Return the angle of the complex argument. Parameters ---------- z : array_like     A complex number or sequence of complex numbers. deg : bool, optional     Return angle in degrees if True, radians if",Computation/Transformation,map,,conjugate,Computation/Transformation
any,Test whether any array element along a given axis evaluates to True. Returns single boolean unless `axis` is not ``None`` Parameters ---------- a : array_like     Input array or object that can be con,Computation/Transformation,reduce,,copy,Creation/Reading
append,Append values to the end of an array. Parameters ---------- arr : array_like     Values are appended to a copy of this array. values : array_like     These values are appended to a copy of `arr`.  It,Creation/Reading,combine/split,,ctypes,MetaData/Attributes
apply_along_axis,"Apply a function to 1-D slices along the given axis. Execute `func1d(a, *args)` where `func1d` operates on 1-D arrays and `a` is a 1-D slice of `arr` along `axis`. This is equivalent to (but faster th",Computation/Transformation,reduce,,cumprod,Computation/Transformation
apply_over_axes,"Apply a function repeatedly over multiple axes. `func` is called as `res = func(a, axis)`, where `axis` is the first element of `axes`.  The result `res` of the function call must have either the same",Computation/Transformation,reduce,,cumsum,Computation/Transformation
arange,"arange([start,] stop[, step,], dtype=None) Return evenly spaced values within a given interval. Values are generated within the half-open interval ``[start, stop)`` (in other words, the interval inclu",Creation/Reading,function,,data,MetaData/Attributes
arccos,"arccos(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Trigonometric inverse cosine, element-wise. The inverse of `cos` so that, if ``y = co",Computation/Transformation,map,,diagonal,Indexing/Subsetting
arccosh,"arccosh(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Inverse hyperbolic cosine, element-wise. Parameters ---------- x : array_like     In",Computation/Transformation,map,,dot,Computation/Transformation
arcsin,"arcsin(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Inverse sine, element-wise. Parameters ---------- x : array_like     `y`-coordinate o",Computation/Transformation,map,,dtype,MetaData/Attributes
arcsinh,"arcsinh(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Inverse hyperbolic sine element-wise. Parameters ---------- x : array_like     Input",Computation/Transformation,map,,dump,Reporting/Output
arctan,"arctan(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Trigonometric inverse tangent, element-wise. The inverse of tan, so that if ``y = tan",Computation/Transformation,map,,dumps,Reporting/Output
arctan2,"arctan2(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Element-wise arc tangent of ``x1/x2`` choosing the quadrant correctly. The quad",Computation/Transformation,map,,fill,Creation/Reading
arctanh,"arctanh(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Inverse hyperbolic tangent element-wise. Parameters ---------- x : array_like     In",Computation/Transformation,map,,flags,MetaData/Attributes
argmax,"Returns the indices of the maximum values along an axis. Parameters ---------- a : array_like     Input array. axis : int, optional     By default, the index is into the flattened array, otherwise",Computation/Transformation,reduce w/ index,,flat,Indexing/Subsetting
argmin,"Returns the indices of the minimum values along an axis. Parameters ---------- a : array_like     Input array. axis : int, optional     By default, the index is into the flattened array, otherwise",Computation/Transformation,reduce w/ index,,flatten,Indexing/Subsetting
argpartition,Perform an indirect partition along the given axis using the algorithm specified by the `kind` keyword. It returns an array of indices of the same shape as `a` that index data along the given axis in,Computation/Transformation,reduce w/ index,,getfield,Indexing/Subsetting
argsort,Returns the indices that would sort an array. Perform an indirect sort along the given axis using the algorithm specified by the `kind` keyword. It returns an array of indices of the same shape as `a`,Computation/Transformation,reduce w/ index,,imag,Indexing/Subsetting
argwhere,"Find the indices of array elements that are non-zero, grouped by element. Parameters ---------- a : array_like     Input data. Returns ------- index_array : ndarray     Indices of elements that are no",Computation/Transformation,map w/ index,,item,Indexing/Subsetting
around,"Evenly round to the given number of decimals. Parameters ---------- a : array_like     Input data. decimals : int, optional     Number of decimal places to round to (default: 0).  If     decimals is n",Computation/Transformation,map,,itemset,Indexing/Subsetting
array,"array(object, dtype=None, copy=True, order='K', subok=False, ndmin=0) Create an array. Parameters ---------- object : array_like     An array, any object exposing the array interface, an object whose",Creation/Reading,from type,,itemsize,MetaData/Attributes
array2string,"Return a string representation of an array. Parameters ---------- a : array_like     Input array. max_line_width : int, optional     The maximum number of columns the string should span. Newline     c",Reporting/Output,to string,,max,Computation/Transformation
array_equal,"True if two arrays have the same shape and elements, False otherwise. Parameters ---------- a1, a2 : array_like     Input arrays. Returns ------- b : bool     Returns True if the arrays are equal. See",Computation/Transformation,zipmap,,mean,Computation/Transformation
array_equiv,"Returns True if input arrays are shape consistent and all elements equal. Shape consistent means they are either the same shape, or one input array can be broadcasted to create the same shape as the o",Computation/Transformation,zipmap,,min,Computation/Transformation
array_repr,"Return the string representation of an array. Parameters ---------- arr : ndarray     Input array. max_line_width : int, optional     The maximum number of columns the string should span. Newline",Reporting/Output,to string,,nbytes,MetaData/Attributes
array_split,Split an array into multiple sub-arrays. Please refer to the ``split`` documentation.  The only difference between these functions is that ``array_split`` allows `indices_or_sections` to be an integer,Creation/Reading,combine/split,,ndim,MetaData/Attributes
array_str,"Return a string representation of the data in an array. The data in the array is returned as a single string.  This function is similar to `array_repr`, the difference being that `array_repr` also ret",Reporting/Output,to string,,newbyteorder,Computation/Transformation
asanyarray,"Convert the input to an ndarray, but pass ndarray subclasses through. Parameters ---------- a : array_like     Input data, in any form that can be converted to an array.  This     includes scalars, li",Creation/Reading,from type,,nonzero,Indexing/Subsetting
asarray,"Convert the input to an array. Parameters ---------- a : array_like     Input data, in any form that can be converted to an array.  This     includes lists, lists of tuples, tuples, tuples of tuples,",Creation/Reading,from type,,partition,Computation/Transformation
asarray_chkfinite,"Convert the input to an array, checking for NaNs or Infs. Parameters ---------- a : array_like     Input data, in any form that can be converted to an array.  This     includes lists, lists of tuples,",Creation/Reading,from type,,prod,Computation/Transformation
ascontiguousarray,"Return a contiguous array in memory (C order). Parameters ---------- a : array_like     Input array. dtype : str or dtype object, optional     Data-type of returned array. Returns ------- out : ndarra",Creation/Reading,from type,,ptp,Computation/Transformation
asfarray,"Return an array converted to a float type. Parameters ---------- a : array_like     The input array. dtype : str or dtype object, optional     Float type code to coerce input array `a`.  If `dtype` is",Creation/Reading,from type,,put,Computation/Transformation
asfortranarray,"Return an array laid out in Fortran order in memory. Parameters ---------- a : array_like     Input array. dtype : str or dtype object, optional     By default, the data-type is inferred from the inpu",Creation/Reading,from type,,ravel,Computation/Transformation
asmatrix,"Interpret the input as a matrix. Unlike `matrix`, `asmatrix` does not make a copy if the input is already a matrix or an ndarray.  Equivalent to ``matrix(data, copy=False)``. Parameters ---------- dat",Creation/Reading,from type,,real,Indexing/Subsetting
asscalar,Convert an array of size 1 to its scalar equivalent. Parameters ---------- a : ndarray     Input array of size 1. Returns ------- out : scalar     Scalar representation of `a`. The output data type is,Creation/Reading,from type,,repeat,Creation/Reading
atleast_1d,"Convert inputs to arrays with at least one dimension. Scalar inputs are converted to 1-dimensional arrays, whilst higher-dimensional inputs are preserved. Parameters ---------- arys1, arys2, ... : arr",Creation/Reading,from type,,reshape,Creation/Reading
atleast_2d,"View inputs as arrays with at least two dimensions. Parameters ---------- arys1, arys2, ... : array_like     One or more array-like sequences.  Non-array inputs are converted     to arrays.  Arrays th",Creation/Reading,from type,,resize,Creation/Reading
atleast_3d,"View inputs as arrays with at least three dimensions. Parameters ---------- arys1, arys2, ... : array_like     One or more array-like sequences.  Non-array inputs are converted to     arrays.  Arrays",Creation/Reading,from type,,round,Computation/Transformation
average,"Compute the weighted average along the specified axis. Parameters ---------- a : array_like     Array containing data to be averaged. If `a` is not an array, a     conversion is attempted. axis : None",Computation/Transformation,reduce,,searchsorted,Indexing/Subsetting
bartlett,"Return the Bartlett window. The Bartlett window is very similar to a triangular window, except that the end points are at zero.  It is often used in signal processing for tapering a signal, without ge",Creation/Reading,function,,setfield,Other
base_repr,"Return a string representation of a number in the given base system. Parameters ---------- number : int     The value to convert. Positive and negative values are handled. base : int, optional     Con",Reporting/Output,to string,,setflags,Other
bench,"Run benchmarks for module using nose. Parameters ---------- label : {'fast', 'full', '', attribute identifier}, optional     Identifies the benchmarks to run. This can be a string to pass to     the n",Other,other,,shape,MetaData/Attributes
binary_repr,"Return the binary representation of the input number as a string. For negative numbers, if width is not given, a minus sign is added to the front. If width is given, the two's complement of the number",Reporting/Output,to string,,size,MetaData/Attributes
bincount,"bincount(x, weights=None, minlength=0) Count number of occurrences of each value in array of non-negative ints. The number of bins (of size 1) is one larger than the largest value in `x`. If `minlengt",Computation/Transformation,reduce,,sort,Computation/Transformation
bitwise_and,"bitwise_and(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Compute the bit-wise AND of two arrays element-wise. Computes the bit-wise",Computation/Transformation,zipmap,,squeeze,Computation/Transformation
bitwise_not,"invert(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Compute bit-wise inversion, or bit-wise NOT, element-wise. Computes the bit-wise NOT",Computation/Transformation,zipmap,,std,Computation/Transformation
bitwise_or,"bitwise_or(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Compute the bit-wise OR of two arrays element-wise. Computes the bit-wise OR",Computation/Transformation,zipmap,,strides,MetaData/Attributes
bitwise_xor,"bitwise_xor(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature, extobj]) Compute the bit-wise XOR of two arrays element-wise. Computes the bit-wise",Computation/Transformation,zipmap,,sum,Computation/Transformation
blackman,Return the Blackman window. The Blackman window is a taper formed by using the first three terms of a summation of cosines. It was designed to have close to the minimal leakage possible.  It is close,Creation/Reading,function,,swapaxes,Computation/Transformation
block,"Assemble an nd-array from nested lists of blocks. Blocks in the innermost lists are concatenated (see `concatenate`) along the last dimension (-1), then these are concatenated along the second-last di",Creation/Reading,combine/split,,take,Indexing/Subsetting
bmat,"Build a matrix object from a string, nested sequence, or array. Parameters ---------- obj : str or array_like     Input data. If a string, variables in the current scope may be     referenced by name.",Creation/Reading,from type,,tobytes,Reporting/Output
bool,"bool(x) -> bool Returns True when the argument x is true, False otherwise. The builtins True and False are the only two instances of the class bool. The class bool is a subclass of the class int, and",Other,from type,,tofile,Reporting/Output
bool8,NumPy's Boolean type.  Character code: ``?``.  Alias: bool8,Creation/Reading,from type,,tolist,Reporting/Output
bool_,NumPy's Boolean type.  Character code: ``?``.  Alias: bool8,Creation/Reading,from type,,tostring,Reporting/Output
broadcast,"Produce an object that mimics broadcasting. Parameters ---------- in1, in2, ... : array_like     Input parameters. Returns ------- b : broadcast object     Broadcast the input parameters against one a",Indexing/Subsetting,reshape,,trace,Computation/Transformation
broadcast_arrays,"Broadcast any number of arrays against each other. Parameters ---------- `*args` : array_likes     The arrays to broadcast. subok : bool, optional     If True, then sub-classes will be passed-through,",Indexing/Subsetting,reshape,,transpose,Computation/Transformation
broadcast_to,"Broadcast an array to a new shape. Parameters ---------- array : array_like     The array to broadcast. shape : tuple     The shape of the desired array. subok : bool, optional     If True, then sub-c",Indexing/Subsetting,reshape,,var,Computation/Transformation
busday_count,"busday_count(begindates, enddates, weekmask='1111100', holidays=[], busdaycal=None, out=None) Counts the number of valid days between `begindates` and `enddates`, not including the day of `enddates`.",Computation/Transformation,zipmap,,view,Creation/Reading
busday_offset,"busday_offset(dates, offsets, roll='raise', weekmask='1111100', holidays=None, busdaycal=None, out=None) First adjusts the date to fall on a valid day according to the ``roll`` rule, then applies offs",Computation/Transformation,zipmap,,,Computation/Transformation
busdaycalendar,"busdaycalendar(weekmask='1111100', holidays=None) A business day calendar object that efficiently stores information defining valid days for the busday family of functions. The default valid days are",Computation/Transformation,from type,,,Reporting/Output
byte,8-bit integer. Character code ``b``. C char compatible.,Creation/Reading,from type,,,Reporting/Output
byte_bounds,"Returns pointers to the end-points of an array. Parameters ---------- a : ndarray     Input array. It must conform to the Python-side of the array     interface. Returns ------- (low, high) : tuple of",Reporting/Output,to type,,,MetaData/Attributes
bytes0,"bytes(iterable_of_ints) -> bytes bytes(string, encoding[, errors]) -> bytes bytes(bytes_or_buffer) -> immutable copy of bytes_or_buffer bytes(int) -> bytes object of size given by the parameter initia",Creation/Reading,from type,,,Reporting/Output
bytes_,"bytes(iterable_of_ints) -> bytes bytes(string, encoding[, errors]) -> bytes bytes(bytes_or_buffer) -> immutable copy of bytes_or_buffer bytes(int) -> bytes object of size given by the parameter initia",Creation/Reading,from type,,,Reporting/Output
